Days,Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
1D,MED,LINEAR,DT,0.7283825343960535,0.7283825343952613,0.9547842503399804,1.4995383371976527,1.1083035527808325,0.0492976416403885
1D,MED,LINEAR,GB,0.8501978300569158,0.8501978300564792,0.964921894240212,1.0942367419533825,0.8301165149763813,0.0373996339128384
1D,MED,LINEAR,KNN,0.8386549609611903,0.838654960960738,0.9629469285146578,1.166707906655726,0.8942142949785505,0.0395920856995274
1D,MED,LINEAR,LGBM,0.8577690872337047,0.8577690872332855,0.965793983533793,1.0652879948257603,0.808822926787572,0.036403572412
1D,MED,LINEAR,LN,0.8378263123612929,0.8378263123608158,0.9629025791376168,1.1261630947607946,0.8742678887503488,0.0395930126824286
1D,MED,LINEAR,Lasso,0.8363192878036151,0.8363192878031338,0.9629994843019648,1.129506917367147,0.8721536419221334,0.0395212149481518
1D,MED,LINEAR,RF,0.8589350167328218,0.858935016732404,0.9663828754929568,1.0588374576489503,0.7961589262826101,0.0357885230193296
1D,MED,LINEAR,Ridge,0.837826342566138,0.837826342565661,0.962902556374272,1.1261637552692645,0.8742687845230103,0.0395930369351936
1D,MED,LINEAR,SVR,0.859760039144649,0.8597600391442254,0.967066513517972,1.0435956526605024,0.7765663888778306,0.0350759363966339
1D,MED,LINEAR,XGB,0.8536305304260543,0.8536305304256205,0.9658809195141532,1.076700663629704,0.8089766093662807,0.0363676811243113
1D,MED,MEAN,Ada,0.7677044074438355,0.7677044074432,0.9541632002304856,1.4083965166623298,1.1180754520550766,0.04950774443476
1D,MED,MEAN,DT,0.722078232598651,0.7220782325978318,0.9547365536281084,1.4909982876414816,1.0967857441731863,0.0494522997064922
1D,MED,MEAN,GB,0.8503154174812865,0.8503154174808519,0.9648081277503506,1.0970861914315797,0.8338916756234485,0.0375152317233388
1D,MED,MEAN,KNN,0.8381568878489397,0.8381568878484865,0.9627718674403312,1.1719563193245348,0.9001428856168475,0.039782228295379
1D,MED,MEAN,LGBM,0.8567892842173279,0.8567892842169033,0.9661345323151272,1.061859433674361,0.8007750454706937,0.0360630377667816
