Level,Seed_Method,Model,NSE (↑),R2 (↑),Sim (↑),RMSE (↓),MAE (↓),NMAE (↓)
LOW,MEAN,LGBM,0.7691881958558542,0.7691881958557885,0.9559327881991182,1.2043341495751885,0.8423400083896342,0.04823890354496854
LOW,MEAN,LN,0.7603445973464189,0.7603445973463507,0.9546436232012316,1.2302909028238334,0.8683671597072056,0.04967971040504708
LOW,MEAN,Lasso,0.7602954735055303,0.7602954735054622,0.9544912190533764,1.2305378902036244,0.8711915453842709,0.04983780904503534
LOW,MEAN,RF,0.72655758674147,0.7265575867413918,0.9510702011982816,1.3104434020272993,0.9409644100648857,0.053864105172
LOW,MEAN,Ridge,0.7603447124467834,0.7603447124467152,0.9546435762136956,1.2302906074388082,0.8683679856572831,0.0496797576290323
LOW,MEAN,SVR,0.7604550021007257,0.7604550021006575,0.9555787758696779,1.2274236360088335,0.8510905710186047,0.04872080972097344
LOW,MEAN,XGB,0.7559842074541787,0.7559842074541091,0.9549581985226545,1.2370954946199781,0.8630468228885106,0.04942467991116599
LOW,SPLINE,Ada,0.6452997114928377,0.6452997114927372,0.9394825969577149,1.50192376980401,1.1729562097739936,0.06697361675653588
LOW,SPLINE,DT,0.5509475657022038,0.5509475657020771,0.9376874820278239,1.6918881203644056,1.2284680343100003,0.07020044059509652
LOW,SPLINE,GB,0.7687290329023737,0.7687290329023078,0.955713243955528,1.2067938703028727,0.8469252486223561,0.04846053702140957
LOW,SPLINE,KNN,0.7356365660023834,0.7356365660023079,0.952014401412486,1.2879773885346963,0.9213660587583269,0.052746205649425316
LOW,SPLINE,LGBM,0.7670675609615036,0.7670675609614372,0.9557633273941487,1.2107233200912275,0.8461239723200442,0.04844082662615102
LOW,SPLINE,LN,0.6947043646153552,0.6947043646152686,0.946771045626289,1.3851990412601842,1.0326669890539986,0.058672395054218465
LOW,SPLINE,Lasso,0.693278305425292,0.6932783054252051,0.9465555222028366,1.387693064375842,1.0370352705887385,0.058912645635992134
LOW,SPLINE,RF,0.724754781283337,0.7247547812832584,0.9510444231520268,1.314164454206432,0.9419264194353552,0.05390699708630336
LOW,SPLINE,Ridge,0.6947040400155136,0.694704040015427,0.9467709566328679,1.3851997192232242,1.0326686801229203,0.05867249172717282
LOW,SPLINE,SVR,0.7663750405797689,0.7663750405797022,0.9564178136020817,1.2131926823047847,0.834748112006984,0.04776809532968622
LOW,SPLINE,XGB,0.7544154701706264,0.7544154701705563,0.9549538464058365,1.244928343233318,0.8640406545570919,0.04945168528468141
MED,LINEAR,Ada,0.7516318045069914,0.751631804506908,0.9511365119957935,1.520903864092404,1.2020429453474846,0.053029500045551896
MED,LINEAR,DT,0.6663018914047095,0.6663018914045935,0.9491911220949002,1.7196139832329125,1.2602041003655415,0.05608091405597785
MED,LINEAR,GB,0.8282695407610002,0.8282695407609381,0.962471362387847,1.21656103891849,0.9013281984836709,0.04031796512788737
MED,LINEAR,KNN,0.7982076854211743,0.7982076854211012,0.9591032086853709,1.3225462431145785,0.9917602083026148,0.04414758289554444
MED,LINEAR,LGBM,0.8341419272984847,0.8341419272984243,0.9632646154553423,1.1924589130489964,0.8820140653639943,0.039420004039497636
MED,LINEAR,LN,0.8159595238108276,0.8159595238107621,0.9609354427528974,1.2640123636956628,0.941324323002173,0.042058959116287854
MED,LINEAR,Lasso,0.8130920720656566,0.8130920720655901,0.96050137492493,1.2728434886334201,0.9507036590576172,0.04253973285206992
MED,LINEAR,RF,0.8336981728417833,0.8336981728417233,0.962970960890383,1.205831984785095,0.8925693838693659,0.03974098754673635
MED,LINEAR,Ridge,0.8159601510924235,0.8159601510923579,0.9609354604463219,1.2640108042883131,0.941323980701213,0.042058932682933044
MED,LINEAR,SVR,0.831165449945423,0.8311654499453612,0.963405587247391,1.1989705227943794,0.8795966008053002,0.039315287715945016
MED,LINEAR,XGB,0.8249374208558968,0.8249374208558332,0.962402276465249,1.22537414079874,0.9028350253372779,0.040426180189326935
MED,MEAN,Ada,0.752994539139647,0.7529945391395637,0.9514281819155302,1.511656961758131,1.194100554439951,0.05270181226055732
MED,MEAN,DT,0.6580054652741442,0.6580054652740225,0.948693580358115,1.7128960169881886,1.2655229661780962,0.0566421485915597
MED,MEAN,GB,0.8275290314222186,0.8275290314221563,0.9624917863435785,1.2169181580132233,0.9008125005780468,0.040306331209435615
MED,MEAN,KNN,0.7956663893586758,0.7956663893586017,0.9589584604648039,1.324552003127462,0.9939387948294075,0.04431683283603415
MED,MEAN,LGBM,0.8341215750340145,0.8341215750339541,0.9633798279658944,1.1888505628430475,0.8782159756306929,0.03930067874392207
MED,MEAN,LN,0.8172364905994158,0.8172364905993508,0.9610459146687963,1.262086209227924,0.9399171317353542,0.04193311221650532
